,trend_window,osc_range,div_threshold,symbol,period,month,trades,win,lose,profit,loss,total,winrate
0,10,0.02,1.5,BTCUSDT,1m,2025-03,2,1,1,0.7391082262203138,-0.1625282270360604,0.5765799991842534,0.5
1,10,0.02,1.5,BTCUSDT,1m,2025-04,6,6,0,13.542292274729942,0.0,13.542292274729942,1.0
2,10,0.02,1.5,BTCUSDT,1m,2025-05,8,6,2,10.884047952544483,-1.678606244817075,9.205441707727408,0.75
3,10,0.02,1.5,BTCUSDT,5m,2025-03,1,0,1,0.0,-6.941373676032577,-6.941373676032577,0.0
4,10,0.02,1.5,BTCUSDT,5m,2025-04,1,1,0,7.748246828143017,0.0,7.748246828143017,1.0
5,10,0.02,1.5,BTCUSDT,5m,2025-05,2,2,0,3.183134806844551,0.0,3.183134806844551,1.0
6,10,0.02,1.5,BTCUSDT,30m,2025-03,1,1,0,5.930480298390896,0.0,5.930480298390896,1.0
7,10,0.02,1.5,BTCUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
8,10,0.02,1.5,BTCUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
9,10,0.02,1.5,BTCUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
10,10,0.02,1.5,BTCUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
11,10,0.02,1.5,BTCUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
12,10,0.02,1.5,ETHUSDT,1m,2025-03,4,4,0,8.165006089259052,0.0,8.165006089259052,1.0
13,10,0.02,1.5,ETHUSDT,1m,2025-04,4,3,1,10.06272264198697,-0.3237706745129478,9.738951967474021,0.75
14,10,0.02,1.5,ETHUSDT,1m,2025-05,4,3,1,4.1076283212150635,-0.6105397202376577,3.4970886009774063,0.75
15,10,0.02,1.5,ETHUSDT,5m,2025-03,1,1,0,1.7700334524443093,0.0,1.7700334524443093,1.0
16,10,0.02,1.5,ETHUSDT,5m,2025-04,2,1,1,27.11092034195372,-8.715669424873951,18.395250917079768,0.5
17,10,0.02,1.5,ETHUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
18,10,0.02,1.5,ETHUSDT,30m,2025-03,1,1,0,8.217182497331912,0.0,8.217182497331912,1.0
19,10,0.02,1.5,ETHUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
20,10,0.02,1.5,ETHUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
21,10,0.02,1.5,ETHUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
22,10,0.02,1.5,ETHUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
23,10,0.02,1.5,ETHUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
24,10,0.02,1.5,SOLUSDT,1m,2025-03,1,1,0,3.9080459770114993,0.0,3.9080459770114993,1.0
25,10,0.02,1.5,SOLUSDT,1m,2025-04,3,2,1,40.47984583904483,-2.379547689282218,38.10029814976261,0.6666666666666666
26,10,0.02,1.5,SOLUSDT,1m,2025-05,1,0,1,0.0,-1.5426124699395831,-1.5426124699395831,0.0
27,10,0.02,1.5,SOLUSDT,5m,2025-03,0,0,0,0.0,0.0,0.0,0.0
28,10,0.02,1.5,SOLUSDT,5m,2025-04,0,0,0,0.0,0.0,0.0,0.0
29,10,0.02,1.5,SOLUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
30,10,0.02,1.5,SOLUSDT,30m,2025-03,0,0,0,0.0,0.0,0.0,0.0
31,10,0.02,1.5,SOLUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
32,10,0.02,1.5,SOLUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
33,10,0.02,1.5,SOLUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
34,10,0.02,1.5,SOLUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
35,10,0.02,1.5,SOLUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
36,10,0.02,2.0,BTCUSDT,1m,2025-03,2,1,1,0.7391082262203138,-0.1625282270360604,0.5765799991842534,0.5
37,10,0.02,2.0,BTCUSDT,1m,2025-04,6,6,0,13.542292274729942,0.0,13.542292274729942,1.0
38,10,0.02,2.0,BTCUSDT,1m,2025-05,8,6,2,10.884047952544483,-1.678606244817075,9.205441707727408,0.75
39,10,0.02,2.0,BTCUSDT,5m,2025-03,1,0,1,0.0,-6.941373676032577,-6.941373676032577,0.0
40,10,0.02,2.0,BTCUSDT,5m,2025-04,1,1,0,7.748246828143017,0.0,7.748246828143017,1.0
41,10,0.02,2.0,BTCUSDT,5m,2025-05,2,2,0,3.183134806844551,0.0,3.183134806844551,1.0
42,10,0.02,2.0,BTCUSDT,30m,2025-03,1,1,0,5.930480298390896,0.0,5.930480298390896,1.0
43,10,0.02,2.0,BTCUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
44,10,0.02,2.0,BTCUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
45,10,0.02,2.0,BTCUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
46,10,0.02,2.0,BTCUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
47,10,0.02,2.0,BTCUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
48,10,0.02,2.0,ETHUSDT,1m,2025-03,4,4,0,8.165006089259052,0.0,8.165006089259052,1.0
49,10,0.02,2.0,ETHUSDT,1m,2025-04,4,3,1,10.06272264198697,-0.3237706745129478,9.738951967474021,0.75
50,10,0.02,2.0,ETHUSDT,1m,2025-05,4,3,1,4.1076283212150635,-0.6105397202376577,3.4970886009774063,0.75
51,10,0.02,2.0,ETHUSDT,5m,2025-03,1,1,0,1.7700334524443093,0.0,1.7700334524443093,1.0
52,10,0.02,2.0,ETHUSDT,5m,2025-04,2,1,1,27.11092034195372,-8.715669424873951,18.395250917079768,0.5
53,10,0.02,2.0,ETHUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
54,10,0.02,2.0,ETHUSDT,30m,2025-03,1,1,0,8.217182497331912,0.0,8.217182497331912,1.0
55,10,0.02,2.0,ETHUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
56,10,0.02,2.0,ETHUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
57,10,0.02,2.0,ETHUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
58,10,0.02,2.0,ETHUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
59,10,0.02,2.0,ETHUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
60,10,0.02,2.0,SOLUSDT,1m,2025-03,1,1,0,3.9080459770114993,0.0,3.9080459770114993,1.0
61,10,0.02,2.0,SOLUSDT,1m,2025-04,3,2,1,40.47984583904483,-2.379547689282218,38.10029814976261,0.6666666666666666
62,10,0.02,2.0,SOLUSDT,1m,2025-05,1,0,1,0.0,-1.5426124699395831,-1.5426124699395831,0.0
63,10,0.02,2.0,SOLUSDT,5m,2025-03,0,0,0,0.0,0.0,0.0,0.0
64,10,0.02,2.0,SOLUSDT,5m,2025-04,0,0,0,0.0,0.0,0.0,0.0
65,10,0.02,2.0,SOLUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
66,10,0.02,2.0,SOLUSDT,30m,2025-03,0,0,0,0.0,0.0,0.0,0.0
67,10,0.02,2.0,SOLUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
68,10,0.02,2.0,SOLUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
69,10,0.02,2.0,SOLUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
70,10,0.02,2.0,SOLUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
71,10,0.02,2.0,SOLUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
72,10,0.02,2.5,BTCUSDT,1m,2025-03,2,1,1,0.7391082262203138,-0.1625282270360604,0.5765799991842534,0.5
73,10,0.02,2.5,BTCUSDT,1m,2025-04,6,6,0,13.542292274729942,0.0,13.542292274729942,1.0
74,10,0.02,2.5,BTCUSDT,1m,2025-05,8,6,2,10.884047952544483,-1.678606244817075,9.205441707727408,0.75
75,10,0.02,2.5,BTCUSDT,5m,2025-03,1,0,1,0.0,-6.941373676032577,-6.941373676032577,0.0
76,10,0.02,2.5,BTCUSDT,5m,2025-04,1,1,0,7.748246828143017,0.0,7.748246828143017,1.0
77,10,0.02,2.5,BTCUSDT,5m,2025-05,2,2,0,3.183134806844551,0.0,3.183134806844551,1.0
78,10,0.02,2.5,BTCUSDT,30m,2025-03,1,1,0,5.930480298390896,0.0,5.930480298390896,1.0
79,10,0.02,2.5,BTCUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
80,10,0.02,2.5,BTCUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
81,10,0.02,2.5,BTCUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
82,10,0.02,2.5,BTCUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
83,10,0.02,2.5,BTCUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
84,10,0.02,2.5,ETHUSDT,1m,2025-03,4,4,0,8.165006089259052,0.0,8.165006089259052,1.0
85,10,0.02,2.5,ETHUSDT,1m,2025-04,4,3,1,10.06272264198697,-0.3237706745129478,9.738951967474021,0.75
86,10,0.02,2.5,ETHUSDT,1m,2025-05,4,3,1,4.1076283212150635,-0.6105397202376577,3.4970886009774063,0.75
87,10,0.02,2.5,ETHUSDT,5m,2025-03,1,1,0,1.7700334524443093,0.0,1.7700334524443093,1.0
88,10,0.02,2.5,ETHUSDT,5m,2025-04,2,1,1,27.11092034195372,-8.715669424873951,18.395250917079768,0.5
89,10,0.02,2.5,ETHUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
90,10,0.02,2.5,ETHUSDT,30m,2025-03,1,1,0,8.217182497331912,0.0,8.217182497331912,1.0
91,10,0.02,2.5,ETHUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
92,10,0.02,2.5,ETHUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
93,10,0.02,2.5,ETHUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
94,10,0.02,2.5,ETHUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
95,10,0.02,2.5,ETHUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
96,10,0.02,2.5,SOLUSDT,1m,2025-03,1,1,0,3.9080459770114993,0.0,3.9080459770114993,1.0
97,10,0.02,2.5,SOLUSDT,1m,2025-04,3,2,1,40.47984583904483,-2.379547689282218,38.10029814976261,0.6666666666666666
98,10,0.02,2.5,SOLUSDT,1m,2025-05,1,0,1,0.0,-1.5426124699395831,-1.5426124699395831,0.0
99,10,0.02,2.5,SOLUSDT,5m,2025-03,0,0,0,0.0,0.0,0.0,0.0
100,10,0.02,2.5,SOLUSDT,5m,2025-04,0,0,0,0.0,0.0,0.0,0.0
101,10,0.02,2.5,SOLUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
102,10,0.02,2.5,SOLUSDT,30m,2025-03,0,0,0,0.0,0.0,0.0,0.0
103,10,0.02,2.5,SOLUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
104,10,0.02,2.5,SOLUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
105,10,0.02,2.5,SOLUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
106,10,0.02,2.5,SOLUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
107,10,0.02,2.5,SOLUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
108,10,0.03,1.5,BTCUSDT,1m,2025-03,2,1,1,0.7391082262203138,-0.1625282270360604,0.5765799991842534,0.5
109,10,0.03,1.5,BTCUSDT,1m,2025-04,6,6,0,13.542292274729942,0.0,13.542292274729942,1.0
110,10,0.03,1.5,BTCUSDT,1m,2025-05,8,6,2,10.884047952544483,-1.678606244817075,9.205441707727408,0.75
111,10,0.03,1.5,BTCUSDT,5m,2025-03,1,0,1,0.0,-6.941373676032577,-6.941373676032577,0.0
112,10,0.03,1.5,BTCUSDT,5m,2025-04,1,1,0,7.748246828143017,0.0,7.748246828143017,1.0
113,10,0.03,1.5,BTCUSDT,5m,2025-05,2,2,0,3.183134806844551,0.0,3.183134806844551,1.0
114,10,0.03,1.5,BTCUSDT,30m,2025-03,1,1,0,5.930480298390896,0.0,5.930480298390896,1.0
115,10,0.03,1.5,BTCUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
116,10,0.03,1.5,BTCUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
117,10,0.03,1.5,BTCUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
118,10,0.03,1.5,BTCUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
119,10,0.03,1.5,BTCUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
120,10,0.03,1.5,ETHUSDT,1m,2025-03,4,4,0,8.165006089259052,0.0,8.165006089259052,1.0
121,10,0.03,1.5,ETHUSDT,1m,2025-04,4,3,1,10.06272264198697,-0.3237706745129478,9.738951967474021,0.75
122,10,0.03,1.5,ETHUSDT,1m,2025-05,4,3,1,4.1076283212150635,-0.6105397202376577,3.4970886009774063,0.75
123,10,0.03,1.5,ETHUSDT,5m,2025-03,1,1,0,1.7700334524443093,0.0,1.7700334524443093,1.0
124,10,0.03,1.5,ETHUSDT,5m,2025-04,2,1,1,27.11092034195372,-8.715669424873951,18.395250917079768,0.5
125,10,0.03,1.5,ETHUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
126,10,0.03,1.5,ETHUSDT,30m,2025-03,1,1,0,8.217182497331912,0.0,8.217182497331912,1.0
127,10,0.03,1.5,ETHUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
128,10,0.03,1.5,ETHUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
129,10,0.03,1.5,ETHUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
130,10,0.03,1.5,ETHUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
131,10,0.03,1.5,ETHUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
132,10,0.03,1.5,SOLUSDT,1m,2025-03,1,1,0,3.9080459770114993,0.0,3.9080459770114993,1.0
133,10,0.03,1.5,SOLUSDT,1m,2025-04,3,2,1,40.47984583904483,-2.379547689282218,38.10029814976261,0.6666666666666666
134,10,0.03,1.5,SOLUSDT,1m,2025-05,1,0,1,0.0,-1.5426124699395831,-1.5426124699395831,0.0
135,10,0.03,1.5,SOLUSDT,5m,2025-03,0,0,0,0.0,0.0,0.0,0.0
136,10,0.03,1.5,SOLUSDT,5m,2025-04,0,0,0,0.0,0.0,0.0,0.0
137,10,0.03,1.5,SOLUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
138,10,0.03,1.5,SOLUSDT,30m,2025-03,0,0,0,0.0,0.0,0.0,0.0
139,10,0.03,1.5,SOLUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
140,10,0.03,1.5,SOLUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
141,10,0.03,1.5,SOLUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
142,10,0.03,1.5,SOLUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
143,10,0.03,1.5,SOLUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
144,10,0.03,2.0,BTCUSDT,1m,2025-03,2,1,1,0.7391082262203138,-0.1625282270360604,0.5765799991842534,0.5
145,10,0.03,2.0,BTCUSDT,1m,2025-04,6,6,0,13.542292274729942,0.0,13.542292274729942,1.0
146,10,0.03,2.0,BTCUSDT,1m,2025-05,8,6,2,10.884047952544483,-1.678606244817075,9.205441707727408,0.75
147,10,0.03,2.0,BTCUSDT,5m,2025-03,1,0,1,0.0,-6.941373676032577,-6.941373676032577,0.0
148,10,0.03,2.0,BTCUSDT,5m,2025-04,1,1,0,7.748246828143017,0.0,7.748246828143017,1.0
149,10,0.03,2.0,BTCUSDT,5m,2025-05,2,2,0,3.183134806844551,0.0,3.183134806844551,1.0
150,10,0.03,2.0,BTCUSDT,30m,2025-03,1,1,0,5.930480298390896,0.0,5.930480298390896,1.0
151,10,0.03,2.0,BTCUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
152,10,0.03,2.0,BTCUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
153,10,0.03,2.0,BTCUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
154,10,0.03,2.0,BTCUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
155,10,0.03,2.0,BTCUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
156,10,0.03,2.0,ETHUSDT,1m,2025-03,4,4,0,8.165006089259052,0.0,8.165006089259052,1.0
157,10,0.03,2.0,ETHUSDT,1m,2025-04,4,3,1,10.06272264198697,-0.3237706745129478,9.738951967474021,0.75
158,10,0.03,2.0,ETHUSDT,1m,2025-05,4,3,1,4.1076283212150635,-0.6105397202376577,3.4970886009774063,0.75
159,10,0.03,2.0,ETHUSDT,5m,2025-03,1,1,0,1.7700334524443093,0.0,1.7700334524443093,1.0
160,10,0.03,2.0,ETHUSDT,5m,2025-04,2,1,1,27.11092034195372,-8.715669424873951,18.395250917079768,0.5
161,10,0.03,2.0,ETHUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
162,10,0.03,2.0,ETHUSDT,30m,2025-03,1,1,0,8.217182497331912,0.0,8.217182497331912,1.0
163,10,0.03,2.0,ETHUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
164,10,0.03,2.0,ETHUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
165,10,0.03,2.0,ETHUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
166,10,0.03,2.0,ETHUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
167,10,0.03,2.0,ETHUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
168,10,0.03,2.0,SOLUSDT,1m,2025-03,1,1,0,3.9080459770114993,0.0,3.9080459770114993,1.0
169,10,0.03,2.0,SOLUSDT,1m,2025-04,3,2,1,40.47984583904483,-2.379547689282218,38.10029814976261,0.6666666666666666
170,10,0.03,2.0,SOLUSDT,1m,2025-05,1,0,1,0.0,-1.5426124699395831,-1.5426124699395831,0.0
171,10,0.03,2.0,SOLUSDT,5m,2025-03,0,0,0,0.0,0.0,0.0,0.0
172,10,0.03,2.0,SOLUSDT,5m,2025-04,0,0,0,0.0,0.0,0.0,0.0
173,10,0.03,2.0,SOLUSDT,5m,2025-05,0,0,0,0.0,0.0,0.0,0.0
174,10,0.03,2.0,SOLUSDT,30m,2025-03,0,0,0,0.0,0.0,0.0,0.0
175,10,0.03,2.0,SOLUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
176,10,0.03,2.0,SOLUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
177,10,0.03,2.0,SOLUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
178,10,0.03,2.0,SOLUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
179,10,0.03,2.0,SOLUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
180,10,0.03,2.5,BTCUSDT,1m,2025-03,2,1,1,0.7391082262203138,-0.1625282270360604,0.5765799991842534,0.5
181,10,0.03,2.5,BTCUSDT,1m,2025-04,6,6,0,13.542292274729942,0.0,13.542292274729942,1.0
182,10,0.03,2.5,BTCUSDT,1m,2025-05,8,6,2,10.884047952544483,-1.678606244817075,9.205441707727408,0.75
183,10,0.03,2.5,BTCUSDT,5m,2025-03,1,0,1,0.0,-6.941373676032577,-6.941373676032577,0.0
184,10,0.03,2.5,BTCUSDT,5m,2025-04,1,1,0,7.748246828143017,0.0,7.748246828143017,1.0
185,10,0.03,2.5,BTCUSDT,5m,2025-05,2,2,0,3.183134806844551,0.0,3.183134806844551,1.0
186,10,0.03,2.5,BTCUSDT,30m,2025-03,1,1,0,5.930480298390896,0.0,5.930480298390896,1.0
187,10,0.03,2.5,BTCUSDT,30m,2025-04,0,0,0,0.0,0.0,0.0,0.0
188,10,0.03,2.5,BTCUSDT,30m,2025-05,0,0,0,0.0,0.0,0.0,0.0
189,10,0.03,2.5,BTCUSDT,1h,2025-03,0,0,0,0.0,0.0,0.0,0.0
190,10,0.03,2.5,BTCUSDT,1h,2025-04,0,0,0,0.0,0.0,0.0,0.0
191,10,0.03,2.5,BTCUSDT,1h,2025-05,0,0,0,0.0,0.0,0.0,0.0
192,10,0.03,2.5,ETHUSDT,1m,2025-03,4,4,0,8.165006089259052,0.0,8.165006089259052,1.0
